dataset,location,model_type,model_label,lead_minutes,threshold_m,seed_count,csi_mean,csi_std,pod_mean,pod_std,far_mean,far_std,f1_mean,f1_std,false_positive_rate_mean,false_positive_rate_std,persistence_csi_mean,persistence_csi_std,persistence_pod_mean,persistence_pod_std,persistence_far_mean,persistence_far_std,persistence_f1_mean,persistence_f1_std,persistence_false_positive_rate_mean,persistence_false_positive_rate_std
larno_ukea,ukea,fno2d_history,FNO2D-History (adapted),30,0.1,5,0.72928332360583,0.017521609783371146,0.7735729724549878,0.02200235314116196,0.07228121448482978,0.015998654687722828,0.8433332992679993,0.0116677905697012,0.0067715576055035085,0.0017131471496026575,0.6141999367955335,0.0,0.6208115503785177,0.0,0.017044017735219245,0.0,0.7609961105745386,0.0,0.0012005970922037191,0.0
larno_ukea,ukea,fno2d_history,FNO2D-History (adapted),30,0.2,5,0.6637870538087759,0.023536707276900087,0.6817596772644319,0.027141477336533354,0.03773545940476616,0.007512210477624968,0.7976814143838734,0.017084222387962988,0.0019255117717226805,0.00046147304086124164,0.5045513654096229,0.0,0.5093330771939936,0.0,0.0182670945445569,0.0,0.6707000864304236,0.0,0.000677706878037947,0.0
larno_ukea,ukea,fno2d_history,FNO2D-History (adapted),30,0.3,5,0.6166876190807771,0.018789262744637193,0.630490333801592,0.022520122193164047,0.033612901642992875,0.013172714786606119,0.7627346941626,0.014450225786740704,0.0011196730527754494,0.00048748369726286765,0.44571619068785423,0.0,0.4471871028162419,0.0,0.007325644706231748,0.0,0.6166026133743274,0.0,0.00016607698116933905,0.0
larno_ukea,ukea,fno2d_history,FNO2D-History (adapted),60,0.05,5,0.6891718972082963,0.018815278173223593,0.8100793469387755,0.01807980089602251,0.17702569624231618,0.0320724283915153,0.8158401316754601,0.013264422217181479,0.034497716749161744,0.008555091029283427,0.595591200322595,0.0,0.60768,0.0,0.032321467569338284,0.0,0.7465461080534651,0.0,0.003969982436532013,0.0
larno_ukea,ukea,fno2d_history,FNO2D-History (adapted),60,0.1,5,0.6840554675464486,0.02897463840178047,0.7660865419001073,0.0316945747053678,0.13487845845902185,0.024875748458478595,0.8120400134471918,0.02038135708278265,0.017254573308541646,0.0037500473868847363,0.4862776423106029,0.0,0.49242204928222333,0.0,0.025018122966434582,0.0,0.6543563981149901,0.0,0.0018129530855630783,0.0
larno_ukea,ukea,fno2d_history,FNO2D-History (adapted),60,0.2,5,0.6127486650860879,0.03160259793180378,0.6574041862018916,0.03894370869462027,0.09842004462506328,0.02031237907658616,0.7594039149491951,0.024357147799794324,0.0074159994630183315,0.001858115998753368,0.3608003835266186,0.0,0.36412123166952737,0.0,0.0246544063194273,0.0,0.5302767222795407,0.0,0.0009408955111394257,0.0
larno_ukea,ukea,fno2d_history,FNO2D-History (adapted),60,0.3,5,0.5494526874561387,0.027739977470456624,0.5733182539216263,0.03226715797603622,0.06927225005793199,0.01685469259617508,0.7088032977600355,0.02336987935002353,0.0033865028412887886,0.000995267556094393,0.29212463594186777,0.0,0.2931672639680395,0.0,0.012027916646042667,0.0,0.4521616999105191,0.0,0.00027998101198733517,0.0
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),5,0.05,5,0.932581679094032,0.00202883798155971,0.946716577540107,0.0017738402470960795,0.01575748622105049,0.0011621956913958698,0.9651137501657227,0.0010875076837332264,0.0018712116665666448,0.00013988097939271964,0.9234984825346504,0.0,0.9289936801166747,0.0,0.006364458865004836,0.0,0.9602279293901281,0.0,0.0007345616035527816,0.0
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),5,0.1,5,0.9205359499437163,0.0024830529715691753,0.9311231911798484,0.002257601967832309,0.012200393195525551,0.0015386443513777787,0.9586222813664301,0.0013475786171197274,0.0008627590602909171,0.0001101332151255084,0.9001021543903518,0.0,0.9039889748105046,0.0,0.0047541177065596706,0.0,0.9474250132400379,0.0,0.0003238791999494657,0.0
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),5,0.2,5,0.9006662461496884,0.0034883623004714165,0.9090146525070574,0.0036256505289505273,0.010089964205664418,0.0017839555261056782,0.9477338507996291,0.0019355089206068374,0.0003836204738513916,6.882022431731651e-05,0.8660321715817695,0.0,0.8684769458260518,0.0,0.003239940755369045,0.0,0.9282071175093027,0.0,0.00011682178003015115,0.0
