dataset,location,model_type,model_label,event_id,seed_count,mean_mae_cm,mean_rmse_cm,mean_csi,mean_wet_rmse_cm,mean_boundary_f1,peak_time_mae_min,mae_reduction_pct,csi_gain
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),r100y_p0.7_d3h_1,5,0.6448239867929223,1.742433251745917,0.7204327852849337,4.392117694290095,0.9071042143509085,0.0,-53.59301093560568,0.07737009543398876
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),r100y_p0.8_d3h_1,5,0.6664608499815807,1.7906004867648786,0.7029422228150629,4.545701752362775,0.8972649427627685,1.1538461538461537,-73.30939689616378,0.06356825239554183
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),r200y_p0.5_d3h_1,5,0.6365721268482928,1.7001887593385978,0.8069479150913678,4.193211437756292,0.9413923769373674,0.0,1.328569697202259,0.09615198634148289
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),r300y_p0.1_d3h_1,5,8.639194154674955,18.622191221715628,0.6976727550360678,33.96934820728871,0.8404179616520351,0.0,12.284376878060428,0.047711439979071346
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),r300y_p0.5_d3h_1,5,0.6188529929533126,1.6555173732534374,0.835802917792691,4.1772876409166555,0.9537359936757327,0.0,15.10324906757121,0.10468234009801618
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),r300y_p0.6_d3h_1,5,0.5741584687507724,1.5441960633874972,0.840310585808271,3.8897141431550386,0.9571158953927736,0.0,13.996060075382537,0.10513767427119432
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),r300y_p0.8_d3h_1,5,0.6060115938192403,1.5990003242179576,0.8290950870348366,3.7645553108418066,0.9493848378624132,0.0,-1.3206222098371765,0.08938679016928461
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),r500y_p0.1_d3h_1,5,9.215730312618874,19.48205158423648,0.7008640670968852,34.96752722432883,0.8404615480305208,0.0,11.707598630043325,0.04309841165045902
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),r500y_p0.3_d3h_1,5,0.7880061444178611,2.0409435069815376,0.8490133397639156,5.027426956239289,0.9587243448933356,0.0,33.169411508224805,0.10457377270821804
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),r500y_p0.4_d3h_1,5,0.6866438128377931,1.8177933563451822,0.8507671169647306,4.5803044762897756,0.9610658732670107,0.0,27.397803519554962,0.09704484134179259
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),r500y_p0.9_d3h_1,5,0.6180380686038892,1.6306510941982866,0.8456979946708284,3.84177769768413,0.9546841569989419,0.0,8.400430984544792,0.0811907105567536
