dataset,location,model_type,model_label,seed,split_seed,rain_forcing,prediction_mode,lead_minutes,threshold_m,csi,pod,far,f1,false_positive_rate,persistence_csi,persistence_pod,persistence_far,persistence_f1,persistence_false_positive_rate
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,77,44,past_only,residual,5,0.05,0.9263786079072703,0.941798736023335,0.017367310501541958,0.9617824908403086,0.00205485206745484,0.9234984825346504,0.9289936801166747,0.006364458865004836,0.9602279293901281,0.0007345616035527816
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,77,44,past_only,residual,5,0.1,0.9210248203393925,0.9341551182910957,0.015031645569620253,0.9588890373385937,0.0010692607629537324,0.9001021543903518,0.9039889748105046,0.0047541177065596706,0.9474250132400379,0.0003238791999494657
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,77,44,past_only,residual,5,0.2,0.9050678087080657,0.9204462965452346,0.018125501892853047,0.9501686024728363,0.000703155856943386,0.8660321715817695,0.8684769458260518,0.003239940755369045,0.9282071175093027,0.00011682178003015115
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,77,44,past_only,residual,5,0.3,0.8892434843091527,0.9102864801474284,0.025337459078882463,0.9413752030319437,0.0006194333226622696,0.8437696072280085,0.8448651365387837,0.0015344255803593527,0.9152657728169877,3.3986607084124524e-05
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,77,44,past_only,residual,15,0.05,0.7929113566007197,0.8733848563787896,0.10410674336848834,0.8844958828349935,0.01429332332260349,0.8116672514269577,0.820869429755857,0.013623269792739109,0.8960445145626482,0.001596678907871627
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,77,44,past_only,residual,15,0.1,0.8147818678427343,0.8422613651081466,0.038500776225327125,0.8979391763609376,0.0030321731738841857,0.7540115883191798,0.760134697578034,0.010570325539052886,0.8597566781662235,0.0007300969969375517
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,77,44,past_only,residual,15,0.2,0.7786366252775265,0.8028148116746858,0.037238504359319795,0.8755432269995377,0.0016482508851613541,0.6759391846361186,0.6803662646516458,0.00953468279437176,0.8066392752585221,0.0003476515518872754
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,77,44,past_only,residual,15,0.3,0.7508917235959132,0.7790566392774259,0.04593463148596229,0.8577249106572519,0.0013228420309828186,0.629461632308318,0.6310606535783729,0.004009305548680889,0.7726007410393749,8.959047199800026e-05
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,77,44,past_only,residual,30,0.05,0.6612235846138582,0.8555334058233659,0.2556678951759659,0.7960681400602145,0.04843025108018239,0.6993339181373497,0.7103494623655914,0.021693237242483804,0.823068274778972,0.0025959221870457756
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,77,44,past_only,residual,30,0.1,0.7015226026101758,0.7898188864872923,0.13745348837209304,0.8245821730890012,0.014037841965321625,0.6141999367955335,0.6208115503785177,0.017044017735219245,0.7609961105745386,0.0012005970922037191
